candidate_id,candidate_name,candidate_skills,candidate_location,candidate_education,internship_id,internship_title,internship_company,required_skills,internship_location,required_education,skill_match_pct,location_match,education_match,is_perfect_match
8558,Arun Reddy,"Research, Maintenance, Java, React, Python, SQL",Mumbai,Diploma,147,DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma,1,1,1,1
8949,Neha Kumar,"Cement Production, Environmental Management, Mining Operations, Plant Operations, Geology, Exploration, Project Management, Structural Design, Surveying, Civil Engineering",Pune,B.Com,833,Construction Manager,RASHMI CEMENT LIMITED,"Civil Engineering, Project Management, Safety Management",Pune,B.Com,0.67,1,1,1
9535,Ravi Rao,"Patient Care, Treatment Planning, Retail Management, Distribution, Supply Chain, Product Development",Mumbai,B.Tech,216,Sales Executive,DABUR INDIA LIMITED,"Distribution, Consumer Insights, Product Development",Remote,B.Tech,0.67,1,1,1
9762,Vikram Rao,"Production, Quality Control, Safety Management, Chemical Engineering, React, Data Analysis, Java, Geology, Mining Operations, Exploration",Chennai,Diploma,32,Ore Processing Technician,MAHANADI COALFIELDS LIMITED,"Exploration, Mineral Processing, Geology",Chennai,Diploma,0.67,1,1,1
10006,Sunita Verma,"Thermal Power, Renewable Energy, Regulatory Compliance, Research, Formulation, Quality Control, Safety Management, Structural Design, Surveying",Chennai,B.Com,138,Construction Manager,THE ASSOCIATED BUILDING COMPANY LIMITED,"Safety Management, Surveying",Remote,B.Com,1,1,1,1
10764,Suresh Sharma,"Drilling Operations, Petroleum Engineering, Product Development, Distribution",Delhi,BBA,420,Pipeline Engineer,MANGALORE REFINERY AND PETROCHEMICALS LIMITED,"Geology, Drilling Operations, Petroleum Engineering",Delhi,BBA,0.67,1,1,1
11493,Ravi Sharma,"Surveying, Construction Management, Safety Management, Marketing, Process Engineering, Sales",Bangalore,BCA,700,Consumer Insights Analyst,UNITED BREWERIES LIMITED,"Brand Management, Marketing, Sales",Bangalore,BCA,0.67,1,1,1
13126,Sunita Das,"Wireless Communication, Optical Fiber, IoT, 5G Technology, Loan Processing, Wealth Management, Financial Modeling",Pune,Diploma,619,System Integrator,STERLITE TECHNOLOGIES LIMITED,"5G Technology, Optical Fiber",Remote,Diploma,1,1,1,1
13209,Amit Gupta,"Supply Chain Management, Warehouse Operations, Distribution, Inventory Management, Sales, Product Development, Brand Management, Consumer Insights",Delhi,MBA,283,Supply Chain Analyst,MARICO LIMITED,"Sales, Consumer Insights, Brand Management, Distribution",Remote,MBA,1,1,1,1
14504,Ravi Joshi,"Extrusion, Molding, Quality Control, Manufacturing, SQL, React, Data Analysis, Java",Mumbai,Diploma,147,DevOps Engineer,LTIMINDTREE LIMITED,"React, Java",Remote,Diploma,1,1,1,1
14898,Meera Gupta,"Brand Management, Consumer Insights, Sales, Beverage Production, Marketing",Delhi,MBA,217,Consumer Insights Analyst,DABUR INDIA LIMITED,"Product Development, Marketing, Brand Management",Delhi,MBA,0.67,1,1,1
15194,Deepak Singh,"Grid Management, Transmission Lines, Electrical Engineering, Substation Operations, Taxation, Risk Management, Loan Processing",Kolkata,Diploma,354,Relationship Manager,IDFC FIRST BANK LIMITED,"Loan Processing, Taxation, Auditing",Kolkata,Diploma,0.67,1,1,1
16374,Rajesh Das,"Quality Control, Safety Management, Estimation, Kitchen Management, Hygiene Standards, Customer Service",Ahmedabad,BCA,854,Structural Engineer,HEIDELBERGCEMENT INDIA LIMITED.,"Quality Control, Safety Management, Structural Design",Ahmedabad,BCA,0.67,1,1,1
16675,Anjali Rao,"Electrical Engineering, Thermal Power, Power Plant Operations, Customer Service, Marketing, Supply Chain, Retail Operations, Policy Analysis, Solar Technology, Maintenance",Pune,BBA,267,Design Engineer,THDC INDIA LIMITED,"Maintenance, Thermal Power, Power Plant Operations",Pune,BBA,1,1,1,1
17141,Meera Kumar,"Product Design, Sales, Brand Management, Consumer Insights, Quality Control, Manufacturing, Automotive Engineering, Testing",Delhi,M.Sc,57,Marketing Executive,RELIANCE RETAIL LIMITED,"Consumer Insights, Retail Management, Sales, Brand Management",Remote,M.Sc,0.75,1,1,1
17251,Shweta Singh,"Data Transmission, RF Engineering, IoT, Quality Control, Project Management, Civil Engineering, Grid Management, Transmission Lines",Kolkata,Diploma,137,Project Engineer,THE ASSOCIATED BUILDING COMPANY LIMITED,"Project Management, Structural Design, Civil Engineering",Remote,Diploma,0.67,1,1,1
17350,Pooja Rao,"Testing, Manufacturing, Research, Maintenance, Machine Learning, SQL, React, Python",Pune,PhD,225,Cloud Architect,MANAPPURAM FINANCE LIMITED,"React, Machine Learning, Java, SQL",Pune,PhD,0.75,1,1,1
19247,Anjali Rao,"Retail Management, Marketing, Sales, Brand Management, Consumer Insights",Bangalore,MBA,775,Retail Manager,EMAMI LIMITED,"Brand Management, Marketing",Bangalore,MBA,1,1,1,1
19686,Priya Das,"Geology, Petroleum Engineering, Refining, Pipeline Maintenance, Surveying, Exploration, Safety Management, Ore Processing",Chennai,MBA,356,Reservoir Engineer,HPCL-MITTAL ENERGY LIMITED,"Geology, Pipeline Maintenance, Reservoir Engineering",Chennai,MBA,0.67,1,1,1
6235,Amit Das,"Manufacturing, Materials Science, Battery Design, Cement Production, Environmental Management",Ahmedabad,B.Tech,509,Software Developer,HONEYWELL TECHNOLOGY SOLUTIONS LAB PRIVATE LIMITED,"JavaScript, Python, Machine Learning, DevOps",Kolkata,B.Com,0,0,1,0
3985,Ravi Gupta,"Customer Service, Visual Merchandising, Inventory Management, Marketing, Rubber Technology, Quality Control, Cybersecurity, JavaScript, SQL, Cloud Computing",Ahmedabad,BBA,343,Consumer Insights Analyst,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,"Marketing, Consumer Insights, Supply Chain",Pune,Diploma,0.33,0,1,0
2579,Amit Verma,"Agricultural Machinery, Irrigation",Jaipur,BCA,272,Distribution Executive,USV PRIVATE LIMITED,"Sales, Product Development",Kolkata,MBA,0,0,0,0
14,Sanjay Gupta,"Mining Operations, Equipment Maintenance, Geology, Energy Efficiency, Transmission, Electrical Engineering, Maintenance, Quality Control, Dyeing, Supply Chain",Hyderabad,BA,901,Surveyor,PRAKASH INDUSTRIES LIMITED,"Mineral Processing, Safety Management",Jaipur,B.Tech,0,0,1,0
1811,Neha Kumar,"Testing, Naval Architecture, Maintenance, Fabric Design, Weaving, Quality Control, Fashion Design, Environmental Management, Mining Operations, Cement Production",Hyderabad,MBA,602,Quality Inspector,PKC INFRATECH LIMITED,"Safety Management, Structural Design, Surveying",Jaipur,Diploma,0,0,1,0
12869,Amit Singh,"Procurement, Freight Management, Warehouse Operations, Transportation, Sales, Research, Electrical Engineering, Manufacturing",Mumbai,M.Sc,687,Cloud Architect,EDELWEISS ASSET RECONSTRUCTION COMPANY LIMITED,"Machine Learning, React, Data Analysis",Jaipur,BCA,0,0,1,0
14096,Rahul Gupta,"Quality Control, Grid Management, Project Management, Pharmacy, Diagnosis, Mining Operations, Material Science",Ahmedabad,BA,165,Retail Manager,BRITANNIA INDUSTRIES LTD,"Marketing, Brand Management, Retail Management, Product Development",Mumbai,B.Tech,0,0,1,0
15956,Meera Singh,"Chemical Engineering, Fertilizer Production, Research",Kolkata,PhD,171,Sales Executive,RECKITT BENCKISER (INDIA) PRIVATE LIMITED,"Consumer Insights, Retail Management",Hyderabad,M.Sc,0,0,1,0
7506,Shweta Sharma,"Pharmacology, Clinical Research, Biotechnology",Ahmedabad,B.Tech,230,Cloud Architect,MPHASIS LIMITED,"JavaScript, React, Java, Cloud Computing",Mumbai,PhD,0,0,0,0
222,Anil Patel,"Reservoir Engineering, Safety Compliance",Hyderabad,BBA,70,Ore Processing Technician,STEEL AUTHORITY OF INDIA LIMITED,"Surveying, Exploration",Lucknow,M.Sc,0,0,0,0
3722,Divya Verma,"Real Estate Development, Valuation, Compliance, Underwriting, Project Management, Corporate Finance",Jaipur,BCA,727,DevOps Engineer,CYIENT LIMITED,"Machine Learning, Cloud Computing, Python, DevOps",Mumbai,B.Com,0,0,1,0
17025,Rahul Reddy,"Chemical Engineering, Formulation, Production, Chemical Formulation, Testing",Jaipur,PhD,200,Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA,0,0,1,0
19460,Kavita Kumar,"Quality Control, Surveying, Sales, Telecom Infrastructure, Data Transmission",Hyderabad,PhD,626,Project Engineer,JSW ENERGY (BARMER) LIMITED,"Transmission, Maintenance, Grid Management",Lucknow,MBA,0,0,1,0
3877,Vikram Sharma,"Warehouse Operations, Supply Chain Management, Freight Management",Bangalore,BA,487,Mineral Processing Engineer,UTKAL ALUMINA INTERNATIONAL LIMITED.,"Safety Management, Mineral Processing",Remote,Diploma,0,1,1,0
19207,Arun Singh,"Urban Planning, Civil Engineering, Marketing, Consumer Insights, Visual Merchandising, E-commerce",Kolkata,BA,776,Sales Executive,EMAMI LIMITED,"Brand Management, Sales, Marketing, Retail Management",Remote,MBA,0.25,1,0,0
16220,Anil Kumar,"Financial Analysis, Compliance, Process Engineering, Quality Control, Electronics Design, Manufacturing, PCB Design",Bangalore,BBA,314,Machine Learning Engineer,ADITYA BIRLA FINANCE LIMITED,"Cybersecurity, DevOps, JavaScript, Cloud Computing",Mumbai,B.Tech,0,0,1,0
9924,Ravi Kumar,"Process Engineering, Research, Environmental Compliance, Quality Control, Battery Design, Manufacturing, Defense Systems, Flight Testing, Weapon Systems, Aerospace Engineering",Lucknow,B.Sc,425,Machine Learning Engineer,VARSITY EDUCATION MANAGEMENT PRIVATE LIMITED,"Data Analysis, Python, React, DevOps",Chennai,MBA,0,0,0,0
13328,Priya Patel,"Tire Manufacturing, Testing, Project Development, Policy Analysis, Grid Integration",Hyderabad,MBA,368,Geologist,GUJARAT STATE PETRONET LIMITED,"Reservoir Engineering, Pipeline Maintenance, Petroleum Engineering",Remote,B.Com,0,1,1,0
13320,Ravi Sharma,"E-commerce, Sales, Marketing, Mineral Processing, Geology, Energy Efficiency, Power Plant Operations, Grid Management",Kolkata,B.Com,142,Distribution Executive,DIVI S LABORATORIES LIMITED,"Supply Chain, Consumer Insights, Brand Management, Sales",Pune,Diploma,0.25,0,1,0
11484,Suresh Patel,"Manufacturing, Assembly Line",Jaipur,Diploma,630,Safety Officer,WESTERN COALFIELDS LIMITED,"Surveying, Ore Processing",Chennai,M.Sc,0,0,0,0
16328,Kavita Gupta,"Quality Control, Aerospace Engineering, Avionics, Digital Marketing, Broadcasting, Content Creation, Geology, Exploration",Pune,PhD,106,Data Analyst,CAPGEMINI TECHNOLOGY SERVICES INDIA LIMITED,"Data Analysis, DevOps, React, Python",Mumbai,MBA,0,0,1,0
2541,Deepak Gupta,"Administrative Skills, Patient Care",Mumbai,PhD,376,Ore Processing Technician,ORISSA METALIKS PRIVATE LIMITED,"Ore Processing, Geology",Hyderabad,B.Com,0,0,1,0
5413,Deepak Rao,"Loan Processing, Trading, Electronics Design, R&D, PCB Design, Manufacturing, Marketing, Distribution",Mumbai,B.Tech,511,DevOps Engineer,MACROTECH DEVELOPERS LIMITED,"Java, Python, Cybersecurity, Machine Learning",Chennai,PhD,0,0,0,0
1008,Anil Das,"Leadership, Marketing, Business Strategy, Project Management, Field Operations, Reservoir Engineering, Safety Compliance, Geology, Transmission, Grid Management, Renewable Energy, Power Plant Operations",Bangalore,B.Sc,820,Quality Inspector,TAMILNADU POWER FINANCE AND INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,"Safety Management, Civil Engineering",Mumbai,BBA,0,0,1,0
15336,Divya Singh,"Field Trials, Research, Quality Control, Ore Processing, Mining Engineering, Environmental Compliance, Safety Management, Maintenance, Weapon Systems, Avionics, Materials Science",Lucknow,BBA,298,Data Analyst,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,"Java, Data Analysis, SQL, Machine Learning",Bangalore,M.Sc,0,0,0,0
7767,Neha Kumar,"Quality Control, Construction Management, Estimation, Safety Management",Lucknow,BA,247,Exploration Geologist,RUNGTA MINES LIMITED,"Surveying, Mining Engineering, Mineral Processing, Geology",Kolkata,B.Tech,0,0,1,0
7984,Ravi Singh,"Naval Architecture, Project Management, Risk Management, Investment Banking, Taxation",Chennai,M.Sc,858,DevOps Engineer,SKF INDIA LIMITED,"DevOps, SQL",Lucknow,B.Com,0,0,1,0
3556,Arun Joshi,"Brewing, Marketing, Research, Sales, Agricultural Chemistry, Regulatory Compliance, Agricultural Machinery, Sustainable Farming",Pune,M.Sc,888,Treasury Analyst,ICICI PRUDENTIAL LIFE INSURANCE COMPANY LIMITED,"Investment Banking, Taxation, Accounting, Loan Processing",Delhi,Diploma,0,0,1,0
1917,Ravi Rao,"Civil Engineering, Materials Science",Lucknow,M.Sc,710,Surveyor,ESSEL MINING & INDUSTRIES LTD.,"Ore Processing, Environmental Compliance, Surveying, Safety Management",Remote,B.Sc,0,1,1,0
10354,Divya Reddy,"Naval Architecture, Quality Control, Materials Science",Kolkata,B.Tech,92,Software Developer,MUTHOOT FINANCE LIMITED,"Data Analysis, Cybersecurity, Java, Python",Ahmedabad,M.Sc,0,0,0,0
18235,Ritu Joshi,"Safety Management, Ore Processing, Surveying, Structural Engineering, Quality Control",Pune,Diploma,96,Software Developer,HERO MOTOCORP LIMITED,"React, Cybersecurity, Java",Jaipur,BBA,0,0,0,0
3766,Priya Das,"Scriptwriting, Event Management, Video Editing, Broadcasting, Taxation, Auditing, Accounting, Sales, Consumer Insights, Product Design, Brand Management",Chennai,PhD,672,Supply Chain Analyst,PATANJALI FOODS LIMITED,"Supply Chain, Product Development, Marketing, Consumer Insights",Bangalore,BCA,0.25,0,1,0
13400,Anil Rao,"Dyeing, Production, Weaving, Quality Control",Hyderabad,MBA,759,Distribution Executive,GRANULES INDIA LIMITED,"Distribution, Product Development, Sales, Consumer Insights",Hyderabad,PhD,0,1,0,0
4562,Anjali Das,"Mechanical Design, Assembly Line, Marketing, Consumer Insights",Jaipur,BBA,867,Renewable Energy Specialist,INDIAN RENEWABLE ENERGY DEVELOPMENT AGENCY LIMITED,"Renewable Energy, Energy Efficiency, Electrical Engineering, Power Plant Operations",Hyderabad,BBA,0,0,1,0
14638,Anil Rao,"Urban Planning, Valuation, Real Estate Development, Leasing, Project Management, Quality Control, Civil Engineering, Surveying",Mumbai,B.Tech,885,Marketing Executive,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Distribution, Brand Management, Product Development",Jaipur,BCA,0,0,1,0
2471,Suresh Gupta,"Agricultural Chemistry, Soil Science, Environmental Management, Research, Structural Engineering, Quality Control, Naval Architecture, Maintenance, Consumer Insights, Brand Management, Marketing",Mumbai,B.Com,463,Software Developer,CUMMINS INDIA LIMITED,"Cloud Computing, Data Analysis",Ahmedabad,PhD,0,0,0,0
18541,Deepak Joshi,"Drug Development, Medical Writing, Biotechnology, Quality Control, Molding, Design, Marketing, Research",Hyderabad,PhD,175,Data Analyst,CHOLAMANDALAM INVESTMENT AND FINANCE COMPANY LIMITED,"Python, React",Remote,BBA,0,1,1,0
10373,Anil Das,"Visual Merchandising, Marketing, Sales, E-commerce, Policy Management, Risk Assessment, Actuarial Science, Claims Processing",Bangalore,BA,463,Software Developer,CUMMINS INDIA LIMITED,"Cloud Computing, Data Analysis",Ahmedabad,PhD,0,0,0,0
18499,Sanjay Verma,"Event Management, Content Creation, Video Editing",Kolkata,Diploma,200,Retail Manager,GLENMARK PHARMACEUTICALS LIMITED,"Supply Chain, Retail Management, Brand Management, Distribution",Bangalore,BA,0,0,0,0
12005,Ravi Sharma,"Taxation, Accounting, Auditing, Financial Analysis",Mumbai,MBA,262,Product Manager,JOHNSON & JOHNSON PRIVATE LIMITED,"Marketing, Brand Management, Consumer Insights",Bangalore,BA,0,0,1,0
11586,Deepak Sharma,"Equipment Maintenance, Surveying, Safety Management, Drilling, Rubber Technology, Research, Quality Control",Delhi,BBA,603,Safety Officer,PKC INFRATECH LIMITED,"Construction Management, Project Management",Bangalore,PhD,0,0,0,0
11303,Deepak Sharma,"Safety Management, Electrical Engineering, Transmission Lines",Kolkata,B.Com,86,Financial Analyst,KOTAK MAHINDRA BANK LIMITED,"Investment Banking, Financial Modeling, Accounting, Auditing",Delhi,Diploma,0,0,1,0
518,Pooja Reddy,"Supply Chain, Textile Engineering, Weaving, Dyeing",Chennai,B.Tech,50,Environmental Officer,NORTHERN COALFIELDS LIMITED,"Exploration, Geology, Surveying, Safety Management",Chennai,MBA,0,1,0,0
16519,Suresh Joshi,"Logistics, Environmental Management, Mining Operations",Kolkata,MBA,697,IT Support,CAN FIN HOMES LIMITED,"JavaScript, SQL, Java",Remote,PhD,0,1,0,0
11328,Shweta Singh,"Cybersecurity, Cloud Computing, Project Management, Risk Management, Operations Management",Lucknow,BBA,217,Consumer Insights Analyst,DABUR INDIA LIMITED,"Product Development, Marketing, Brand Management",Delhi,MBA,0,0,0,0
17217,Priya Joshi,"Marketing, Retail Management, Product Design, Quality Control, Treatment Planning, Administrative Skills",Lucknow,MBA,604,DevOps Engineer,JAQUAR AND COMPANY PRIVATE LIMITED,"JavaScript, Cybersecurity",Pune,B.Sc,0,0,1,0
12351,Rajesh Singh,"Medical Writing, Regulatory Affairs, Biotechnology, Clinical Research, Diagnosis, Patient Care, Pharmacy, Cybersecurity, React, Data Analysis",Bangalore,MBA,275,Web Developer,MRF LIMITED,"Java, Python, Cloud Computing",Lucknow,BCA,0,0,1,0
17295,Priya Reddy,"Weapon Systems, Flight Testing, Aerospace Engineering, Defense Systems, Investment Banking, Taxation, Risk Management, Financial Analysis",Mumbai,BBA,462,Machine Learning Engineer,CUMMINS INDIA LIMITED,"Java, DevOps",Pune,BCA,0,0,1,0
5177,Pooja Kumar,"Sales, Risk Assessment, Underwriting",Lucknow,BA,222,Product Manager,GODREJ CONSUMER PRODUCTS LIMITED,"Consumer Insights, Marketing",Kolkata,M.Sc,0,0,0,0
12140,Vikram Verma,"Research, Product Design, Maintenance, Safety Management, Structural Engineering",Kolkata,B.Sc,516,Data Analyst,CORTEVA AGRISCIENCE SEEDS PRIVATE LIMITED,"Cloud Computing, JavaScript, Python",Bangalore,BA,0,0,1,0
3174,Anil Das,"Environmental Management, Soil Science, Research, Testing, Rubber Technology, Marketing, Process Engineering",Delhi,Diploma,800,Design Engineer,ADANI POWER LIMITED,"Transmission, Maintenance",Mumbai,BCA,0,0,0,0
3054,Meera Singh,"Property Management, Urban Planning, Real Estate Development, Testing, Embedded Systems, Electronics Design, Manufacturing, Supply Chain",Mumbai,MBA,904,Surveyor,IREL (INDIA) LIMITED,"Safety Management, Geology",Bangalore,MBA,0,0,1,0
18217,Priya Patel,"Automotive Engineering, CAD",Hyderabad,BCA,683,Inventory Analyst,THE GREAT EASTERN SHIPPING COMPANY LIMITED,"Transportation, Procurement",Chennai,BBA,0,0,1,0
7069,Amit Sharma,"Accounting, Taxation, Financial Modeling, Risk Management, Safety Management, Exploration, Mining Operations, Drilling",Delhi,B.Tech,602,Quality Inspector,PKC INFRATECH LIMITED,"Safety Management, Structural Design, Surveying",Jaipur,Diploma,0.33,0,1,0
1245,Kavita Kumar,"Quality Control, Testing, CAD, Supply Chain, Marketing, Beverage Production, Distribution, Sales",Delhi,M.Sc,156,Cloud Architect,SUN TV NETWORK LIMITED,"Python, JavaScript, Cloud Computing",Lucknow,BA,0,0,1,0
5272,Shweta Kumar,"Geology, Reservoir Engineering, Broadcasting, Digital Marketing, Content Creation",Ahmedabad,B.Com,600,Web Developer,AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,"DevOps, Cybersecurity, Java",Delhi,Diploma,0,0,1,0
7270,Anjali Singh,"Testing, Sales, Research, Optical Fiber, RF Engineering",Ahmedabad,B.Sc,280,Structural Engineer,JCB INDIA LIMITED,"Structural Design, Quality Control",Chennai,B.Tech,0,0,1,0
17786,Neha Singh,"Fertilizer Production, Chemical Engineering, Process Engineering, Quality Control",Hyderabad,BBA,449,Product Manager,ADANI WILMAR LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Kolkata,B.Tech,0,0,1,0
466,Kavita Das,"Crop Management, Pest Control, Paint Technology, Manufacturing, Quality Control",Kolkata,B.Com,886,Retail Manager,HERBALIFE INTERNATIONAL INDIA PRIVATE LIMITED,"Product Development, Consumer Insights, Supply Chain",Jaipur,BCA,0,0,1,0
18492,Meera Verma,"Research, Product Design",Lucknow,PhD,815,Data Analyst,INFO EDGE (INDIA) LIMITED,"SQL, Machine Learning, Java, DevOps",Lucknow,BBA,0,1,1,0
19959,Rahul Verma,"Quality Control, Process Engineering",Kolkata,BBA,66,Treasury Analyst,INDUSIND BANK LTD.,"Investment Banking, Accounting, Risk Management, Taxation",Kolkata,BCA,0,1,1,0
7671,Arun Sharma,"Regulatory Compliance, Formulation, Pesticide Development, Telecom Infrastructure, IoT, 5G Technology, Wireless Communication",Kolkata,Diploma,33,Mineral Processing Engineer,MAHANADI COALFIELDS LIMITED,"Geology, Safety Management, Mining Engineering, Ore Processing",Kolkata,B.Sc,0,1,0,0
11948,Sunita Sharma,"Maintenance, Defense Systems, Quality Control, Avionics, Marketing, Brewing",Mumbai,BA,417,IT Support,EIT SERVICES INDIA PRIVATE LIMITED,"Cybersecurity, SQL, React, Data Analysis",Jaipur,BBA,0,0,1,0
5634,Kavita Gupta,"Risk Management, Operations Management, Marketing, Testing, R&D, Circuit Design, Quality Control, Weaving, Supply Chain, Dyeing",Jaipur,B.Com,607,Web Developer,ADOBE SYSTEMS INDIA PRIVATE LIMITED,"SQL, Java, Python, Cybersecurity",Hyderabad,Diploma,0,0,1,0
18772,Meera Rao,"Drilling, Equipment Maintenance, Environmental Compliance, Exploration",Hyderabad,B.Tech,151,Data Analyst,ZOHO CORPORATION PRIVATE LIMITED,"Cloud Computing, Cybersecurity",Hyderabad,MBA,0,1,0,0
15515,Neha Kumar,"Pipeline Maintenance, Refining, Petroleum Engineering, Testing, Rubber Technology, Marketing, Maintenance, Project Management",Pune,B.Com,647,Brand Manager,ABBOTT INDIA LIMITED,"Consumer Insights, Retail Management, Sales",Ahmedabad,MBA,0,0,0,0
569,Kavita Rao,"Quality Control, Plant Operations, Material Science",Chennai,MBA,476,DevOps Engineer,CITICORP SERVICES INDIA PRIVATE LIMITED,"Python, Cybersecurity, Java",Remote,BCA,0,1,1,0
8312,Sanjay Patel,"Corporate Finance, Business Strategy",Kolkata,PhD,733,Renewable Energy Specialist,ADANI TRANSMISSION (INDIA) LIMITED,"Grid Management, Maintenance, Electrical Engineering, Power Plant Operations",Jaipur,BBA,0,0,1,0
10121,Arun Verma,"Pharmacology, Drug Development, Biotechnology",Chennai,BA,801,Supply Chain Analyst,EMCURE PHARMACEUTICALS LIMITED,"Retail Management, Marketing, Product Development",Pune,B.Sc,0,0,1,0
8331,Sanjay Joshi,"Environmental Management, Quality Control, Exploration, Geology",Delhi,Diploma,90,Machine Learning Engineer,SHRIRAM FINANCE LIMITED,"Cloud Computing, SQL, React, Data Analysis",Delhi,BCA,0,1,0,0
6540,Rahul Verma,"Petroleum Engineering, Refining, Field Operations, Drilling Operations",Ahmedabad,BA,111,Data Analyst,IBM INDIA PRIVATE LIMITED,"Data Analysis, DevOps, Machine Learning, Java",Pune,BCA,0,0,1,0
2140,Kavita Rao,"Pest Control, Sustainable Farming, Irrigation, Farming Techniques, Process Engineering, Electrochemistry, Battery Design, Materials Science",Chennai,B.Tech,401,Supply Chain Analyst,PARLE BISCUITS PRIVATE LIMITED,"Supply Chain, Marketing, Distribution, Brand Management",Pune,B.Tech,0,0,1,0
